execution	set	set_sort	dependence	dependence_sort	dependence_binary	cohort	cohort_sort	model	model_sort	independence_extra_female	independence	model_note
1	oestradiol	2	oestradiol_detection	2	1	male	7	joint_2	3		sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;testosterone_imputation	
1	oestradiol	2	oestradiol_detection	2	1	male	7	joint_3	4		sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	
1	testosterone	3	testosterone_detection	3	1	female	2	unadjust	1	pregnancy	sex_y;sex_x;sex_text	
1	testosterone	3	testosterone_detection	3	1	female	2	joint_1	2	menopause_ordinal;oophorectomy;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;alteration_sex_hormone	
1	testosterone	3	testosterone_detection	3	1	female	2	joint_2	3	menopause_ordinal;oophorectomy;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation	
1	testosterone	3	testosterone_detection	3	1	female	2	joint_3	4	menopause_ordinal;oophorectomy;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation;steroid_globulin_imputation;albumin_imputation	
1	testosterone	3	testosterone_detection	3	1	female_menstruation_regular	3	unadjust	1	pregnancy	sex_y;sex_x;sex_text	
1	testosterone	3	testosterone_detection	3	1	female_menstruation_regular	3	joint_1	2	menstruation_phase_cycle;menopause_ordinal;oophorectomy;hysterectomy;pregnancies;menstruation_regular_range;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;alteration_sex_hormone	
1	testosterone	3	testosterone_detection	3	1	female_menstruation_regular	3	joint_2	3	menstruation_phase_cycle;menopause_ordinal;oophorectomy;hysterectomy;pregnancies;menstruation_regular_range;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation	
1	testosterone	3	testosterone_detection	3	1	female_menstruation_regular	3	joint_3	4	menstruation_phase_cycle;menopause_ordinal;oophorectomy;hysterectomy;pregnancies;menstruation_regular_range;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation;steroid_globulin_imputation;albumin_imputation	
1	testosterone	3	testosterone_detection	3	1	female_premenopause	4	unadjust	1	pregnancy	sex_y;sex_x;sex_text	
1	testosterone	3	testosterone_detection	3	1	female_premenopause	4	joint_1	2	menstruation_phase_cycle;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;alteration_sex_hormone	
1	testosterone	3	testosterone_detection	3	1	female_premenopause	4	joint_2	3	menstruation_phase_cycle;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation	
1	testosterone	3	testosterone_detection	3	1	female_premenopause	4	joint_3	4	menstruation_phase_cycle;hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation;steroid_globulin_imputation;albumin_imputation	
1	testosterone	3	testosterone_detection	3	1	female_perimenopause	5	unadjust	1	pregnancy	sex_y;sex_x;sex_text	
1	testosterone	3	testosterone_detection	3	1	female_perimenopause	5	joint_1	2	hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;alteration_sex_hormone	
1	testosterone	3	testosterone_detection	3	1	female_perimenopause	5	joint_2	3	hysterectomy;pregnancies;pregnancy	sex_y;sex_x;sex_text;age;body;body_log;region;season;medication_vitamin_d;alteration_sex_hormone;cholesterol_imputation;vitamin_d_imputation;oestradiol_imputation	
